"Symbol","Name","Industry","Market Cap (Short)","Market Cap (Raw)","$Price","%Change","Volume","%Volume"
"MELI","MercadoLibre Inc. Common Stock","Consumer Discretionary | Catalog/Specialty Distribution","72.9B","72934660099","1442.55","0.84","322027","-23.3"
"CDNS","Cadence Design Systems Inc. Common Stock","Technology | Computer Software: Prepackaged Software","72.3B","72311358980","265.79","-2.51","2123144","47.08"
"PYPL","PayPal Holdings Inc. Common Stock","Consumer Discretionary | Business Services","62.8B","62801668048","58.25","2.77","15222140","-6.31"
"CHTR","Charter Communications Inc. Class A Common Stock New","Telecommunications | Cable & Other Pay Television Services","61.8B","61771511434","417.6","0.67","621075","-42.7"
"CSX","CSX Corporation Common Stock","Industrials | Railroads","61.2B","61240300775","30.99","-0.39","14571850","19.96"
"WDAY","Workday Inc. Class A Common Stock","Technology | EDP Services","60.7B","60655620000","231.51","-0.39","1312114","-1.46"
"MAR","Marriott International Class A Common Stock","Consumer Discretionary | Hotels/Resorts","59.1B","59081888477","201.17","-0.59","1516215","-7.17"
"MNST","Monster Beverage Corporation","Consumer Staples | Beverages (Production/Distribution)","57.7B","57661259506","55.42","-0.47","4658000","-18.51"
"ORLY","O'Reilly Automotive Inc. Common Stock","Consumer Discretionary | Auto & Home Supply Stores","57.6B","57584615604","973.34","-0.98","661876","46.48"
"ARM","Arm Holdings plc American Depositary Shares","(unknown)","56.8B","56828720620","55.43","3.74","5821817","14.95"
"CTAS","Cintas Corporation Common Stock","Consumer Discretionary | Apparel","55.7B","55738647534","547.24","0.13","526826","51.31"
"ROP","Roper Technologies Inc. Common Stock","Industrials | Industrial Machinery/Components","55.6B","55641504303","520.88","-0.73","423519","-19.48"
"LULU","lululemon athletica inc. Common Stock","Consumer Discretionary | Apparel","52.5B","52478793060","432.19","0.43","1257545","1.66"
"NXPI","NXP Semiconductors N.V. Common Stock","Technology | Semiconductors","51.7B","51745982676","200.75","3.01","2807521","3.63"
"MRVL","Marvell Technology Inc. Common Stock","Technology | Semiconductors","49.3B","49326276000","57.17","0.25","8896024","5.52"
"CRWD","CrowdStrike Holdings Inc. Class A Common Stock","Technology | EDP Services","48.8B","48782041582","204.29","-1.77","3693483","52.91"
"TEAM","Atlassian Corporation Class A Common Stock","Technology | Computer Software: Prepackaged Software","48.3B","48339577600","187.32","0.6","1836000","17.58"
"PCAR","PACCAR Inc. Common Stock","Consumer Discretionary | Auto Manufacturing","47.3B","47312209909","90.45","-0.24","1859430","-17.16"
"CPRT","Copart Inc. (DE) Common Stock","Consumer Discretionary | Retail-Auto Dealers and Gas Stations","47.1B","47121044256","49.22","-0.95","6243278","61.57"
"ADSK","Autodesk Inc. Common Stock","Technology | Computer Software: Prepackaged Software","46.2B","46196458512","216.11","-0.58","1031468","-4.48"
"JD","JD.com Inc. American Depositary Shares","Consumer Discretionary | Other Specialty Stores","44.9B","44929426929","28.59","7.04","32265330","156.21"
"MCHP","Microchip Technology Incorporated Common Stock","Technology | Semiconductors","44.6B","44636237085","82.5","1.5","6602378","15.65"
"KDP","Keurig Dr Pepper Inc. Common Stock","Consumer Staples | Beverages (Production/Distribution)","44.6B","44592938325","31.89","0.03","7162715","-20.53"
"ODFL","Old Dominion Freight Line Inc. Common Stock","Industrials | Trucking Freight/Courier Services","43.9B","43944433012","402.74","-0.52","620244","-16.69"
"PAYX","Paychex Inc. Common Stock","Consumer Discretionary | Business Services","42.3B","42314761813","117.14","0.76","2240507","21.78"
"ROST","Ross Stores Inc. Common Stock","Consumer Discretionary | Clothing/Shoe/Accessory Stores","42B","41980230363","123.97","-0.67","4072639","103.3"
"LI","Li Auto Inc. American Depositary Shares","Consumer Discretionary | Auto Manufacturing","41.8B","41804897332","40.53","1.71","5387063","-1.34"
"KHC","The Kraft Heinz Company Common Stock","Consumer Staples | Packaged Foods","41.2B","41162638571","33.56","-0.06","6432836","-10.67"
"AEP","American Electric Power Company Inc. Common Stock","Utilities | Electric Utilities: Central","40.2B","40245262193","76.53","-1.14","3404684","-4.38"
"SGEN","Seagen Inc. Common Stock","Health Care | Biotechnology: Biological Products (No Diagnostic Substances)","40B","40009692851","212.07","-0.88","1319574","14.16"
"EXC","Exelon Corporation Common Stock","Utilities | Power Generation","39.5B","39489002293","39.67","0.2","6703839","20.7"
"DXCM","DexCom Inc. Common Stock","Health Care | Medical/Dental Instruments","39.5B","39452642503","102.11","0.72","4159505","-19.19"
"BIDU","Baidu Inc. ADS","Technology | Computer Software: Programming Data Processing","39.4B","39445836954","112.84","3.01","3603108","71.79"
"FTNT","Fortinet Inc. Common Stock","Technology | Computer peripheral equipment","39.2B","39209464329","51.06","-0.51","6946374","-20.48"
"CEG","Constellation Energy Corporation Common Stock","Utilities | Electric Utilities: Central","39B","38961371631","121.99","-3.58","1982239","22.86"
"IDXX","IDEXX Laboratories Inc. Common Stock","Health Care | Biotechnology: In Vitro & In Vivo Diagnostic Substances","38.3B","38250291873","460.56","1.39","502477","-10.07"
"DASH","DoorDash Inc. Class A Common Stock","Industrials | Industrial Machinery/Components","37.9B","37893540844","95.16","1.57","4340038","3.32"
"EA","Electronic Arts Inc. Common Stock","Technology | Computer Software: Prepackaged Software","36.2B","36157159470","134.43","-0.00745","1750382","-7.56"
"DDOG","Datadog Inc. Class A Common Stock","Technology | EDP Services","36B","35956914301","109.44","0.39","5196795","-16.02"
"BKR","Baker Hughes Company Class A Common Stock","Industrials | Metal Fabrications","34.9B","34876066731","34.66","-0.12","8082202","7.12"
"VRSK","Verisk Analytics Inc. Common Stock","Technology | EDP Services","34.5B","34476353627","237.79","-0.11","920441","-5.35"
"FAST","Fastenal Company Common Stock","Consumer Discretionary | RETAIL: Building Materials","34.3B","34347645348","60.11","-1.46","3207155","-1.64"
"CTSH","Cognizant Technology Solutions Corporation Class A Common Stock","Technology | EDP Services","34.3B","34301632272","68.41","1.53","3046389","0.66"
"CSGP","CoStar Group Inc. Common Stock","Consumer Discretionary | Business Services","33.6B","33591970652","82.26","-0.58","1826351","-24.51"
"TTD","The Trade Desk Inc. Class A Common Stock","Technology | Computer Software: Programming Data Processing","33.4B","33364711735","68.05","0.62","6301289","-10.63"
"BIIB","Biogen Inc. Common Stock","Health Care | Biotechnology: Pharmaceutical Preparations","33.3B","33272953459","229.63","1.94","1346392","17.13"
"XEL","Xcel Energy Inc. Common Stock","Utilities | Power Generation","33.2B","33158642609","60.09","-0.35","3439464","-5.05"
"GEHC","GE HealthCare Technologies Inc. Common Stock","Technology | Computer Software: Prepackaged Software","32.6B","32558977500","71.52","-0.96","2780070","-5.7"
"DKNG","DraftKings Inc. Class A Common Stock","Consumer Discretionary | Services-Misc. Amusement & Recreation","31.5B","31465950472","36.62","-1.11","17834860","5.52"
"ACGL","Arch Capital Group Ltd. Common Stock","Finance | Property-Casualty Insurers","30.8B","30846389998","82.66","-3.32","2829098","27.86"
"NDAQ","Nasdaq Inc. Common Stock","Finance | Investment Bankers/Brokers/Service","30.8B","30763750872","53.32","0.4","2503802","16.84"
"GFS","GlobalFoundries Inc. Ordinary Shares","Technology | Semiconductors","30.8B","30751246400","56.14","0.63","1375625","-18.7"
"This is a demo version limited to 100 rows. To access the full data file, subscribe at nitrocharts.com/subscribe"
